file_name,transcription
053-Dead-obies-where-they-A.mp3,"Where they at? Where they at? You say you got drugs, homie, tell me, where they at? Oh, you at the club? Where you at? You say you got thugs, mothafucka, where they at? Where they at? Where they at? You say you got drugs, homie, tell me, where they at? Oh, you"
053-Dead-obies-where-they-C.mp3,"you got drugs, homie, tell me, where they at? Oh, you at the club? Where you at? You say you got thugs, mothafucka, where they at? Front sur le grand écran, stunt sur ton Facebook Tape sur ton Twitter, t'es à un clic d'être straight shook Paraît qu't'as des gats, mais quand les cops cognent Tes grands canons, where they at? Là tu sais pu where they at, motherfucker, where they at Vas-y, claim Montréal but we still runnin' that Ouh, meilleure chance la prochaine fois Sittin' on top, pitche des roches su'é mouettes Motherfucker, I"
053-Dead-obies-where-they-D.mp3,"moi! Toi, t'es pareil à tou'é autres On est dans l'édifice pis ça s'pourrait ben qu'y saute Su'l' bord du précipice, motherfucker, vas-y saute Y a plus personne pour te sauver, tous ceux qui avaient ton back Motherfucker, where they at? Where they at? You say you got drugs, homie, tell me, where they at? Oh, you at the club? Where you at? You say you got thugs, mothafucka, where they at? Wherever the fuck you at, homeboy, wear yo' hat R.I.P. the Royals, Jeffrey Loria, where you at? Motherfucker bring 'em back! Yeah, Imma bring a bat I keep a Louis"
053-Dead-obies-where-they-E.mp3,"in the back Keep it moving like a Uber while we do it in the back Straight pimpin' is a fact, yeah we been doin' that Su'a croix du Mont Royal en train d'crier: where they at? Mawfucka, where you at? I been grindin' like Nyjah Huston, toi, mon gars, où est-ce qu't'étais? I been puttin' work, diamond in the back If you lookin' for yo' girl, elles sont toutes à Montréal On est parti, on est back, j'étais juste de passage Baby got back, but I never call back She like: nigga, where you at? Where they at? You say you got drugs, homie, tell me, where they at? Oh, you at"
053-Dead-obies-where-they-F.mp3,"the club? Where you at? You say you got drugs, mothafucka, where they at? What you want to do, watch me do it Wish you had it all, avoue-le donc: Ouin, j'suis doué Why should I be gone quand t'es juste capable d'échouer On m'chuchote de shooter, c't'un sure shot, LE DO IT! Un sharp shooter même quand j'apechoum"
053-Dead-obies-where-they-G.mp3,"a wish, ferme les yeux pis j'y va pour le swish Opportuniste, God bless, hater players, where they at? I mean, si le chapeau te fait ben, mothafucka, wear the hat Where they at? Fuck boy, where they at? Tu dis que t'as payé 5000 pour tes mags, where they at? Pis tes chummés, where they at? Fuck ce shit-là, parle pas, farme ta yeule Bitch, you gotta follow the rules Une gang de suiveux d'l'âge d'or, they got me hors de mon mood Parce qu'ce shit-là got un nwigga so obsédé par les fuckbooooys Mais yo, personne d'autre peut faire ça, right?!"
053-Dead-obies-where-they-H.mp3,"Where they at? Where they at?
You say you got drugs, homie, tell me, where they at?
Oh, you at the club? Where you at?
You say you got drugs, mothafucka, where they at?
Where they at? Where they at?
You say you got drugs, homie, tell me, where they at?
Oh, you at the club? Where you at?
You say you got drugs, mothafucka, where they at?
Where they, where they, where they at?"
054-Koriass-elephant-A.mp3,"L'impression que mes journées sont sans lendemain Tout le monde essaie d'entrer dans mon brain J'ai fermé les blinds, j'ai ouvert le mind Restarté le grind pour me prendre en mains Faut que j'm'arrête pour refaire le plein Finie la guerre, là j'desserre les poings Mon cerveau déraille mais là c'est mon time J'sème la pagaille si j'manque le train Le répondeur de mon cell est vide J'veux compter les heures mais j'en"
054-Koriass-elephant-B.mp3,"perd le fil J'ai séché les pleurs, j'ai fermé mon cœur, j'ai fait des longueurs dans mon verre de gin J'entends les échos des gens qui scandent des demandes que leur héros vienne fendre le vent Y a pas de trône, de King ou de messie Y a seulement des egos qui se rentrent dedans J'ai compté le cash, fait tomber le match J'ai brulé la cape et le costume J'pas plus catholique que le pape Moi j'veux les médailles, le cash et la fortune Y a longtemps que j'ai vendu mon cœur J'peux même plus sentir la peur Si j'reviens à 100 milles à l'heure Tu sais que c'est pour remettre les pendules à l'heure J'ai tué les miens comme un meurtrier Lancé des amis aux oubliettes Le jour ou la nuit, j'sais pas l'heure qu'il est J'veux revenir en arrière à"
054-Koriass-elephant-C.mp3,"toute vitesse C'tait pas dans mes plans de berner des gens De tout sauter en allumant la mèche J'prends le couteau qu'on m'a planté dans le dos pour tuer l'éléphant que je vois dans la pièce Leave me alone Laissez-moi seul dans ma zone Fermer les stores et j'ai fermé le phone J'ai pas la force d'aller régler des comptes, de réparer des ponts Nah, leave me alone Laissez-moi dans les décombres Laissez-moi dont seul pour creuser ma tombe Laissez-moi préparer la fin du monde J'ai dit leave me alone Aye, Leave me alone Laissez-moi seul dans ma zone Fermer les stores et j'ai fermé le phone J'ai pas la force d'aller régler des comptes, de réparer des ponts Nah, leave me alone Laissez-moi dans les décombres"
